symbol,kind,parameters
FUN_00DE9640,S8,2012;2008;2129922;2016
FUN_01009EE0,D32,20;4;4
FUN_01009EF0,D32,20;4;8
FUN_01009F00,D32,20;4;12
FUN_01009F10,D32,20;4;16
FUN_01009F20,D32,52;8;8
FUN_01009F40,D32,52;8;12
FUN_01009F50,D32,52;8;16
FUN_01009F70,D32,52;8;20
FUN_01009F80,D32,52;8;24
FUN_01009F90,D32,52;8;28
FUN_01009FB0,D32,52;8;32
FUN_01009FC0,D32,52;8;36
FUN_01009FD0,D32,52;8;40
FUN_01009FE0,D32,52;8;44
FUN_010152C0,D32,92;1024;32
FUN_010772B0,D32,912;2;904
FUN_010772E0,D32,912;2;908
FUN_010D3260,D16,208;2176;1910
FUN_010D3290,D16,208;2176;1912
FUN_010D32C0,D8,208;128;1914
FUN_010D32F0,D32,208;128;1916
FUN_010D3380,D32,208;128;1928
FUN_010D34D0,D32,208;128;1956
FUN_010D3500,D32,208;128;1960
FUN_010D3530,D32,208;128;1964
FUN_010D3600,D32,208;128;2000
FUN_010D3780,D8,208;512;2852
FUN_010D3DC0,D8,192;32;50008
FUN_010D3E60,D8,192;2048;50388
FUN_010D63D0,D8,208;17;241
FUN_010D6450,D8,208;2112;243
FUN_010D6470,D8,208;2112;244
FUN_010D64F0,D8,208;2112;272
FUN_010D6510,D8,208;2112;273
FUN_010D6530,D32,208;2112;276
FUN_010D6550,D8,208;2112;280
FUN_010D6570,D8,208;2112;281
FUN_010D6590,D8,208;192;369
FUN_010D65B0,D8,208;64;432
FUN_010D65D0,D8,208;64;433
FUN_010D65F0,D8,208;64;434
FUN_010D6610,D8,208;64;435
FUN_010D67F0,D8,208;576;520
FUN_010D6810,D32,208;512;524
FUN_010D6830,D16,208;64;528
FUN_010D6980,D8,208;2112;544
FUN_010D69E0,D32,208;64;552
FUN_010D6B00,D8,208;128;708
FUN_010D6B20,D8,208;128;709
FUN_010D6B40,D16,208;64;446
FUN_010D6BE0,D8,208;128;965
FUN_010D6C00,D8,208;128;968
FUN_010D6C20,D8,208;128;1084
FUN_010D6D60,D8,208;2176;1592
FUN_010D70C0,D8,208;2184;1324
FUN_010D70E0,D8,208;2176;1325
FUN_010D71C0,D8,208;2176;1813
